 ! Model parameters: Teff:
    2411.000
 !
 ! Number of atmosphere layers:
  53

#Layer,Longitude,Latitude,P(bar),T(K),U(m/s),V(m/s),W(Pa/s),W(m/s)

6,-135,45,1.3732e-05,739.78,-13500,2038.2,0.00011197,-1.1792
7,-135,45,1.944e-05,743.3,-13159,2121.6,0.00017356,-1.2973
8,-135,45,2.7519e-05,748.16,-12786,2184.2,0.00026212,-1.3931
9,-135,45,3.8956e-05,755,-12436,2265.1,0.00041337,-1.5661
10,-135,45,5.5146e-05,764.23,-12039,2307,0.00061961,-1.6786
11,-135,45,7.8066e-05,776.21,-11600,2360.2,0.00095244,-1.8513
12,-135,45,0.00011051,791.73,-11255,2391.2,0.0014366,-2.012
13,-135,45,0.00015644,810.14,-10939,2420.2,0.0020945,-2.1204
14,-135,45,0.00022146,830.81,-10532,2451.6,0.003025,-2.2185
15,-135,45,0.0003135,852.07,-10204,2477.4,0.0043906,-2.3328
16,-135,45,0.00044379,872.5,-9806.3,2513.9,0.0061951,-2.381
17,-135,45,0.00062823,890.61,-9347.2,2546,0.0088781,-2.4604
18,-135,45,0.00088933,906.39,-8988.7,2591.2,0.012136,-2.4179
19,-135,45,0.0012589,918.9,-8408.3,2655,0.01585,-2.2616
20,-135,45,0.0017822,929.51,-7840,2690.1,0.02041,-2.081
21,-135,45,0.0025229,938.1,-7038.8,2730.6,0.024606,-1.7886
22,-135,45,0.0035714,940.79,-6225.2,2616.3,0.028458,-1.4655
23,-135,45,0.0050557,933.97,-5342.4,2384.4,0.028674,-1.0355
24,-135,45,0.0071569,917.68,-4538.2,2013.5,0.024943,-0.62523
25,-135,45,0.010131,893.21,-3844,1540,0.019152,-0.33009
26,-135,45,0.014342,870.34,-3435,1167.2,0.014019,-0.16631
27,-135,45,0.020303,857.33,-3195,962.53,0.0148,-0.12217
28,-135,45,0.028741,853.48,-2897.2,801.68,0.01965,-0.11407
29,-135,45,0.040686,854.35,-2512.7,659.16,0.020825,-0.085488
30,-135,45,0.057595,861.84,-2193.6,561.93,0.023608,-0.069058
31,-135,45,0.081532,875.62,-1858.2,509.68,0.045036,-0.094551
32,-135,45,0.11542,895.9,-1472.1,416.59,0.059089,-0.089665
33,-135,45,0.16339,925.06,-1206.1,317.57,0.046554,-0.051526
34,-135,45,0.23129,962.86,-976.05,217.08,0.021153,-0.017214
35,-135,45,0.32742,1011,-766.83,116.47,-0.013179,0.0079548
36,-135,45,0.4635,1069.4,-616.6,24.122,-0.075398,0.034009
37,-135,45,0.65613,1135.3,-527.01,-37.867,-0.16914,0.057212
38,-135,45,0.92882,1205.6,-467.44,-59.43,-0.20431,0.051843
39,-135,45,1.3148,1277.6,-405.01,-60.6,-0.12283,0.023332
40,-135,45,1.8613,1350.7,-337.6,-61.106,0.076288,-0.010822
41,-135,45,2.6349,1425.1,-277.63,-65.793,0.23697,-0.025055
